,Frame,X,Y,Z
3699,1850,0.020980794,-0.028094248,0.58537033
3701,1851,0.020980794,-0.028094248,0.58537033
3703,1852,0.020980794,-0.028094248,0.58537033
3705,1853,0.020980794,-0.028094248,0.58537033
3707,1854,0.020970822,-0.028239346,0.58503136
3709,1855,0.020970822,-0.028239346,0.58503136
3711,1856,0.020970822,-0.028239346,0.58503136
3713,1857,0.020970822,-0.028239346,0.58503136
3715,1858,0.020970822,-0.028239346,0.58503136
3717,1859,0.020970822,-0.028239346,0.58503136
3719,1860,0.020970822,-0.028239346,0.58503136
3721,1861,0.020970822,-0.028239346,0.58503136
3723,1862,0.020970822,-0.028239346,0.58503136
3725,1863,0.020970822,-0.028239346,0.58503136
3727,1864,0.020970822,-0.028239346,0.58503136
3729,1865,0.020970822,-0.028239346,0.58503136
3731,1866,0.020970822,-0.028239346,0.58503136
3733,1867,0.020970822,-0.028239346,0.58503136
3735,1868,0.020970822,-0.028239346,0.58503136
3737,1869,0.020970822,-0.028239346,0.58503136
3739,1870,0.020970822,-0.028239346,0.58503136
3741,1871,0.020970822,-0.028239346,0.58503136
3743,1872,0.020970822,-0.028239346,0.58503136
3745,1873,0.020970822,-0.028239346,0.58503136
3747,1874,0.020970822,-0.028239346,0.58503136
3749,1875,0.020970822,-0.028239346,0.58503136
3751,1876,0.020970822,-0.028239346,0.58503136
3753,1877,0.020970822,-0.028239346,0.58503136
3755,1878,0.020970822,-0.028239346,0.58503136
3757,1879,0.020970822,-0.028239346,0.58503136
3759,1880,0.020970822,-0.028239346,0.58503136
3761,1881,0.020970822,-0.028239346,0.58503136
3763,1882,0.020970822,-0.028239346,0.58503136
3765,1883,0.020970822,-0.028239346,0.58503136
3767,1884,0.020968599,-0.028384429,0.58502674
3769,1885,0.020968599,-0.028384429,0.58502674
3771,1886,0.020968599,-0.028384429,0.58502674
3773,1887,0.020968599,-0.028384429,0.58502674
3775,1888,0.020968599,-0.028384429,0.58502674
3777,1889,0.020968599,-0.028384429,0.58502674
3779,1890,0.020970799,-0.028542428,0.58502711
3781,1891,0.020970799,-0.028542428,0.58502711
3783,1892,0.020970799,-0.028542428,0.58502711
3785,1893,0.020970799,-0.028542428,0.58502711
3787,1894,0.020970799,-0.028542428,0.58502711
3789,1895,0.020970799,-0.028542428,0.58502711
3791,1896,0.020970799,-0.028542428,0.58502711
3793,1897,0.020970799,-0.028542428,0.58502711
3795,1898,0.020970799,-0.028542428,0.58502711
3797,1899,0.020970799,-0.028542428,0.58502711
3799,1900,0.020970799,-0.028542428,0.58502711
3801,1901,0.020970799,-0.028542428,0.58502711
3803,1902,0.020970799,-0.028542428,0.58502711
3805,1903,0.020970799,-0.028542428,0.58502711
3807,1904,0.020970799,-0.028542428,0.58502711
3809,1905,0.021260926,-0.028533537,0.58488826
3811,1906,0.021260926,-0.028533537,0.58488826
3813,1907,0.021260926,-0.028533537,0.58488826
3815,1908,0.021260926,-0.028533537,0.58488826
3817,1909,0.021260926,-0.028533537,0.58488826
3819,1910,0.021260926,-0.028533537,0.58488826
3821,1911,0.021260926,-0.028533537,0.58488826
3823,1912,0.021260926,-0.028533537,0.58488826
3825,1913,0.021260926,-0.028533537,0.58488826
3827,1914,0.021260926,-0.028533537,0.58488826
3829,1915,0.021260926,-0.028533537,0.58488826
3831,1916,0.021260926,-0.028533537,0.58488826
3833,1917,0.021260926,-0.028533537,0.58488826
3835,1918,0.021260926,-0.028533537,0.58488826
3837,1919,0.021258655,-0.028678583,0.58488362
3839,1920,0.021258655,-0.028678583,0.58488362
3841,1921,0.021258655,-0.028678583,0.58488362
3843,1922,0.021258655,-0.028678583,0.58488362
3845,1923,0.021258655,-0.028678583,0.58488362
3847,1924,0.021258655,-0.028678583,0.58488362
3849,1925,0.021258655,-0.028678583,0.58488362
3851,1926,0.021260905,-0.028836501,0.58488401
3853,1927,0.021260905,-0.028836501,0.58488401
3855,1928,0.021260905,-0.028836501,0.58488401
3857,1929,0.021260905,-0.028836501,0.58488401
3859,1930,0.021260905,-0.028836501,0.58488401
3861,1931,0.021260905,-0.028836501,0.58488401
3863,1932,0.021260905,-0.028836501,0.58488401
3865,1933,0.021260905,-0.028836501,0.58488401
3867,1934,0.021260905,-0.028836501,0.58488401
3869,1935,0.021260905,-0.028836501,0.58488401
3871,1936,0.021260905,-0.028836501,0.58488401
3873,1937,0.021260905,-0.028836501,0.58488401
3875,1938,0.021260905,-0.028836501,0.58488401
3877,1939,0.021260905,-0.028836501,0.58488401
3879,1940,0.021260905,-0.028836501,0.58488401
3881,1941,0.021260905,-0.028836501,0.58488401
3883,1942,0.021260905,-0.028836501,0.58488401
3885,1943,0.021260905,-0.028836501,0.58488401
3887,1944,0.021260905,-0.028836501,0.58488401
3889,1945,0.021260905,-0.028836501,0.58488401
3891,1946,0.021260905,-0.028836501,0.58488401
3893,1947,0.021260905,-0.028836501,0.58488401
3895,1948,0.021260905,-0.028836501,0.58488401
3897,1949,0.021258585,-0.028981545,0.58487935
3899,1950,0.021260905,-0.028836501,0.58488401
3901,1951,0.021260905,-0.028836501,0.58488401
3903,1952,0.021258585,-0.028981545,0.58487935
3905,1953,0.021258585,-0.028981545,0.58487935
3907,1954,0.021258585,-0.028981545,0.58487935
3909,1955,0.021258585,-0.028981545,0.58487935
3911,1956,0.021258585,-0.028981545,0.58487935
3913,1957,0.021258585,-0.028981545,0.58487935
3915,1958,0.021258585,-0.028981545,0.58487935
3917,1959,0.021258585,-0.028981545,0.58487935
3919,1960,0.021258585,-0.028981545,0.58487935
3921,1961,0.021258585,-0.028981545,0.58487935
3923,1962,0.021258585,-0.028981545,0.58487935
3925,1963,0.021260888,-0.029139461,0.58487976
3927,1964,0.021260888,-0.029139461,0.58487976
3929,1965,0.021260888,-0.029139461,0.58487976
3931,1966,0.021550872,-0.029130344,0.58474099
3933,1967,0.021260888,-0.029139461,0.58487976
3935,1968,0.021260888,-0.029139461,0.58487976
3937,1969,0.021260888,-0.029139461,0.58487976
3939,1970,0.021260888,-0.029139461,0.58487976
3941,1971,0.021260888,-0.029139461,0.58487976
3943,1972,0.021550872,-0.029130344,0.58474099
3945,1973,0.021550872,-0.029130344,0.58474099
3947,1974,0.021550872,-0.029130344,0.58474099
3949,1975,0.021550872,-0.029130344,0.58474099
3951,1976,0.021550872,-0.029130344,0.58474099
3953,1977,0.021550872,-0.029130344,0.58474099
3955,1978,0.021550872,-0.029130344,0.58474099
3957,1979,0.021550872,-0.029130344,0.58474099
3959,1980,0.021550872,-0.029130344,0.58474099
3961,1981,0.021550872,-0.029130344,0.58474099
3963,1982,0.021550872,-0.029130344,0.58474099
3965,1983,0.021550872,-0.029130344,0.58474099
3967,1984,0.021550872,-0.029130344,0.58474099
3969,1985,0.021550872,-0.029130344,0.58474099
3971,1986,0.021550872,-0.029130344,0.58474099
3973,1987,0.021550872,-0.029130344,0.58474099
3975,1988,0.021550872,-0.029130344,0.58474099
3977,1989,0.021550872,-0.029130344,0.58474099
3979,1990,0.021548503,-0.029275351,0.5847363
3981,1991,0.021548503,-0.029275351,0.5847363
3983,1992,0.021548503,-0.029275351,0.5847363
3985,1993,0.021548503,-0.029275351,0.5847363
3987,1994,0.021548503,-0.029275351,0.5847363
3989,1995,0.021548503,-0.029275351,0.5847363
3991,1996,0.021548503,-0.029275351,0.5847363
3993,1997,0.021548503,-0.029275351,0.5847363
3995,1998,0.021548503,-0.029275351,0.5847363
3997,1999,0.021548503,-0.029275351,0.5847363
3999,2000,0.021550857,-0.029433186,0.58473674
4001,2001,0.021550857,-0.029433186,0.58473674
4003,2002,0.021550857,-0.029433186,0.58473674
4005,2003,0.021550857,-0.029433186,0.58473674
4007,2004,0.021550857,-0.029433186,0.58473674
4009,2005,0.021550857,-0.029433186,0.58473674
4011,2006,0.021550857,-0.029433186,0.58473674
