Frame num,cyy,yy(vert),xx (horiz),Intensity
2219,230,154,339,499
2218,230,154,339,538
2217,230,154,339,537
2216,230,154,339,492
2215,230,154,339,497
2214,230,154,339,532
2213,229,155,339,508
2212,229,155,339,479
2211,229,155,339,494
2210,229,155,339,507
2209,229,155,339,471
2208,229,155,339,513
2207,229,155,339,518
2206,229,155,338,500
2205,229,155,338,512
2204,229,155,338,506
2203,229,155,338,496
2202,229,155,338,579
2201,229,155,338,593
2200,229,155,338,520
2199,229,155,338,504
2198,229,155,338,509
2197,229,155,338,600
2196,229,155,338,509
2195,229,155,338,511
2194,229,155,338,530
2193,229,155,338,497
2192,229,155,338,505
2191,229,155,338,568
2190,229,155,338,549
2189,229,155,338,549
2188,229,155,338,675
2187,229,155,338,708
2186,229,155,338,622
2185,229,155,338,696
2184,228,156,338,697
2183,228,156,338,761
2182,228,156,338,734
2181,228,156,338,799
2180,228,156,338,755
2179,228,156,338,793
2178,228,156,338,790
2177,228,156,338,790
2176,228,156,338,787
2175,228,156,338,731
2174,228,156,338,757
2173,228,156,338,813
2172,228,156,338,772
2171,228,156,338,830
2170,228,156,338,815
2169,228,156,338,767
2168,228,156,338,802
2167,228,156,338,860
2166,228,156,338,815
2165,228,156,338,790
2164,228,156,338,871
2163,228,156,338,867
2162,228,156,338,851
2161,228,156,338,818
2160,228,156,338,903
2159,228,156,338,957
2158,228,156,338,907
2157,227,157,338,794
2156,227,157,338,811
2155,227,157,338,784
2154,227,157,338,794
2153,227,157,338,769
2152,227,157,338,759
2151,227,157,338,1333
2150,227,157,338,1402
2149,227,157,338,1199
2148,227,157,338,860
2147,227,157,338,555
2146,227,157,338,539
2145,227,157,338,542
2144,227,157,338,547
2143,227,157,338,547
2142,227,157,338,543
2141,227,157,338,551
2140,227,157,338,542
2139,227,157,338,548
2138,227,157,338,547
2137,227,157,338,550
2136,227,157,337,549
2135,227,157,337,556
2134,227,157,337,562
2133,227,157,337,556
2132,227,157,337,557
2131,227,157,337,559
2130,227,157,337,575
2129,227,157,337,567
